2024-04-24 21:15:10.567 [main] INFO  b.c.o.desafio.DesafioApplication - Starting DesafioApplication using Java 17.0.7 with PID 9176 (C:\Users\giovane\Downloads\desafion\desafio\target\classes started by giovane in C:\Users\giovane\Downloads\desafion)
2024-04-24 21:15:10.573 [main] INFO  b.c.o.desafio.DesafioApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-24 21:15:26.943 [main] INFO  b.c.o.desafio.DesafioApplication - Started DesafioApplication in 17.201 seconds (process running for 18.557)
2024-04-24 21:15:41.217 [http-nio-8080-exec-1] INFO  b.c.o.d.service.CostumerService - Listando tudo.
2024-04-24 21:31:46.697 [main] INFO  b.c.o.desafio.DesafioApplication - Starting DesafioApplication using Java 17.0.7 with PID 12564 (C:\Users\giovane\Downloads\desafion\desafio\target\classes started by giovane in C:\Users\giovane\Downloads\desafion)
2024-04-24 21:31:46.703 [main] INFO  b.c.o.desafio.DesafioApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-24 21:32:01.524 [main] INFO  b.c.o.desafio.DesafioApplication - Started DesafioApplication in 15.645 seconds (process running for 16.893)
2024-04-25 19:51:04.544 [main] INFO  b.c.o.desafio.DesafioApplication - Starting DesafioApplication using Java 17.0.7 with PID 14328 (C:\Users\giovane\Downloads\desafion\desafio\target\classes started by giovane in C:\Users\giovane\Downloads\desafion)
2024-04-25 19:51:04.549 [main] INFO  b.c.o.desafio.DesafioApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-25 19:51:19.771 [main] INFO  b.c.o.desafio.DesafioApplication - Started DesafioApplication in 16.044 seconds (process running for 18.575)
2024-04-25 20:12:52.112 [main] INFO  b.c.o.desafio.DesafioApplication - Starting DesafioApplication using Java 17.0.7 with PID 3320 (C:\Users\giovane\Downloads\desafion\desafio\target\classes started by giovane in C:\Users\giovane\Downloads\desafion)
2024-04-25 20:12:52.118 [main] INFO  b.c.o.desafio.DesafioApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-25 20:13:06.628 [main] INFO  b.c.o.desafio.DesafioApplication - Started DesafioApplication in 15.336 seconds (process running for 16.667)
