23-04-2024 21:28:22.159 | 812  | [main] | INFO  | b.c.o.desafio.DesafioApplication - Iniciando a api!
23-04-2024 21:28:23.463 | 2116 | [background-preinit] | DEBUG | org.jboss.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
23-04-2024 21:28:23.467 | 2120 | [background-preinit] | INFO  | o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
23-04-2024 21:28:23.481 | 2134 | [background-preinit] | DEBUG | o.h.v.i.x.c.ValidationXmlParser - Trying to load META-INF/validation.xml for XML based Validator configuration.
23-04-2024 21:28:23.483 | 2136 | [background-preinit] | DEBUG | o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via TCCL
23-04-2024 21:28:23.485 | 2138 | [background-preinit] | DEBUG | o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
23-04-2024 21:28:23.485 | 2138 | [background-preinit] | DEBUG | o.h.v.i.x.c.ValidationXmlParser - No META-INF/validation.xml found. Using annotation based configuration only.
23-04-2024 21:28:23.500 | 2153 | [background-preinit] | DEBUG | o.h.v.i.e.r.TraversableResolvers - Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
23-04-2024 21:28:23.509 | 2162 | [background-preinit] | DEBUG | o.h.v.i.e.r.TraversableResolvers - Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
23-04-2024 21:28:23.581 | 2234 | [background-preinit] | DEBUG | o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
23-04-2024 21:28:23.598 | 2251 | [main] | INFO  | b.c.o.desafio.DesafioApplication - Starting DesafioApplication using Java 17.0.7 with PID 4164 (C:\Users\giovane\Downloads\desafion\desafio\target\classes started by giovane in C:\Users\giovane\Downloads\desafion)
23-04-2024 21:28:23.599 | 2252 | [main] | DEBUG | b.c.o.desafio.DesafioApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
23-04-2024 21:28:23.601 | 2254 | [main] | INFO  | b.c.o.desafio.DesafioApplication - No active profile set, falling back to 1 default profile: "default"
23-04-2024 21:28:23.602 | 2255 | [main] | DEBUG | o.s.boot.SpringApplication - Loading source class br.com.omnilink.desafio.DesafioApplication
23-04-2024 21:28:23.754 | 2407 | [main] | DEBUG | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@33308786
23-04-2024 21:28:23.827 | 2480 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
23-04-2024 21:28:23.872 | 2525 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
23-04-2024 21:28:23.877 | 2530 | [background-preinit] | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
23-04-2024 21:28:23.889 | 2542 | [background-preinit] | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
23-04-2024 21:28:23.890 | 2543 | [background-preinit] | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.resolver.JPATraversableResolver as ValidatorFactory-scoped traversable resolver.
23-04-2024 21:28:23.890 | 2543 | [background-preinit] | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
23-04-2024 21:28:23.891 | 2544 | [background-preinit] | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
23-04-2024 21:28:23.891 | 2544 | [background-preinit] | DEBUG | o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
23-04-2024 21:28:24.222 | 2875 | [main] | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\giovane\Downloads\desafion\desafio\target\classes\br\com\omnilink\desafio\controller\CostumerController.class]
23-04-2024 21:28:24.224 | 2877 | [main] | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\giovane\Downloads\desafion\desafio\target\classes\br\com\omnilink\desafio\DB\ConnectionSession.class]
23-04-2024 21:28:24.308 | 2961 | [main] | DEBUG | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\Users\giovane\Downloads\desafion\desafio\target\classes\br\com\omnilink\desafio\repository\costumer\CostumerRepositoryImpl.class]
23-04-2024 21:28:27.859 | 6512 | [main] | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23-04-2024 21:28:27.879 | 6532 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
23-04-2024 21:28:27.898 | 6551 | [main] | DEBUG | o.s.b.a.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the package 'br.com.omnilink.desafio'. Automatic @Repository and @Entity scanning is enabled.
23-04-2024 21:28:27.899 | 6552 | [main] | DEBUG | o.s.d.r.c.RepositoryConfigurationDelegate - Scanning for JPA repositories in packages br.com.omnilink.desafio.
23-04-2024 21:28:27.925 | 6578 | [main] | INFO  | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
23-04-2024 21:28:28.418 | 7071 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
23-04-2024 21:28:28.437 | 7090 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration$CacheManagerEntityManagerFactoryDependsOnPostProcessor'
23-04-2024 21:28:28.441 | 7094 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
23-04-2024 21:28:28.446 | 7099 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
23-04-2024 21:28:28.752 | 7405 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
23-04-2024 21:28:28.756 | 7409 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
23-04-2024 21:28:28.763 | 7416 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
23-04-2024 21:28:28.764 | 7417 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
23-04-2024 21:28:28.773 | 7426 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
23-04-2024 21:28:28.781 | 7434 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
23-04-2024 21:28:28.794 | 7447 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
23-04-2024 21:28:28.795 | 7448 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
23-04-2024 21:28:28.796 | 7449 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
23-04-2024 21:28:28.803 | 7456 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
23-04-2024 21:28:28.811 | 7464 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
23-04-2024 21:28:28.949 | 7602 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'methodValidationPostProcessor'
23-04-2024 21:28:28.967 | 7620 | [main] | DEBUG | o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
